id,volt,status,createddate
152,0.013,0,2022-03-14 15:59:36
153,0.01,0,2022-03-14 15:59:37
154,2.216,0,2022-03-14 15:59:38
155,2.216,1,2022-03-14 15:59:39
156,2.216,1,2022-03-14 15:59:40
157,2.223,1,2022-03-14 15:59:41
158,2.21,1,2022-03-14 15:59:42
159,2.213,1,2022-03-14 15:59:43
160,2.206,1,2022-03-14 15:59:44
161,2.226,1,2022-03-14 15:59:45
162,2.2,1,2022-03-14 15:59:46
163,2.232,1,2022-03-14 15:59:47
164,2.206,1,2022-03-14 15:59:48
165,2.223,1,2022-03-14 15:59:50
166,2.213,1,2022-03-14 15:59:52
167,2.213,1,2022-03-14 15:59:53
168,2.213,1,2022-03-14 15:59:53
169,2.213,1,2022-03-14 15:59:54
170,2.213,1,2022-03-14 15:59:56
171,2.213,1,2022-03-14 15:59:56
172,2.213,1,2022-03-14 15:59:57
173,2.223,1,2022-03-14 15:59:58
174,2.213,1,2022-03-14 15:59:59
175,2.219,1,2022-03-14 16:00:00
176,2.206,1,2022-03-14 16:00:01
177,2.223,1,2022-03-14 16:00:02
178,2.226,1,2022-03-14 16:00:03
179,2.206,1,2022-03-14 16:00:04
180,2.226,1,2022-03-14 16:00:05
181,2.21,1,2022-03-14 16:00:06
182,2.239,1,2022-03-14 16:00:07
183,2.21,1,2022-03-14 16:00:08
184,2.232,1,2022-03-14 16:00:09
185,2.213,1,2022-03-14 16:00:11
186,2.229,1,2022-03-14 16:00:12
187,2.21,1,2022-03-14 16:00:13
188,2.21,1,2022-03-14 16:00:14
189,2.213,1,2022-03-14 16:00:14
190,2.219,1,2022-03-14 16:00:16
191,2.226,1,2022-03-14 16:00:17
192,2.226,1,2022-03-14 16:00:18
193,2.2,1,2022-03-14 16:00:19
194,2.216,1,2022-03-14 16:00:20
195,2.197,1,2022-03-14 16:00:21
196,2.213,1,2022-03-14 16:00:22
197,2.197,1,2022-03-14 16:00:23
198,2.21,1,2022-03-14 16:00:24
199,2.219,1,2022-03-14 16:00:25
200,2.219,1,2022-03-14 16:00:26
201,2.229,1,2022-03-14 16:00:27
202,2.229,1,2022-03-14 16:00:28
203,2.229,1,2022-03-14 16:00:29
204,2.219,1,2022-03-14 16:00:30
205,2.229,1,2022-03-14 16:00:31
206,2.235,1,2022-03-14 16:00:32
207,2.235,1,2022-03-14 16:00:34
208,2.235,1,2022-03-14 16:00:35
209,2.21,1,2022-03-14 16:00:35
210,2.229,1,2022-03-14 16:00:36
211,2.223,1,2022-03-14 16:00:37
212,2.229,1,2022-03-14 16:00:38
213,2.216,1,2022-03-14 16:00:39
214,2.223,1,2022-03-14 16:00:40
215,2.213,1,2022-03-14 16:00:41
216,2.226,1,2022-03-14 16:00:42
217,2.21,1,2022-03-14 16:00:43
218,2.216,1,2022-03-14 16:00:44
219,2.235,1,2022-03-14 16:00:45
220,2.216,1,2022-03-14 16:00:47
221,2.245,1,2022-03-14 16:00:48
222,2.235,1,2022-03-14 16:00:49
223,2.226,1,2022-03-14 16:00:50
224,2.226,1,2022-03-14 16:00:51
225,2.239,1,2022-03-14 16:00:52
226,2.223,1,2022-03-14 16:00:53
227,2.229,1,2022-03-14 16:00:54
228,2.248,1,2022-03-14 16:00:55
229,2.235,1,2022-03-14 16:00:56
230,2.232,1,2022-03-14 16:00:57
231,2.239,1,2022-03-14 16:00:58
232,2.223,1,2022-03-14 16:00:59
233,2.226,1,2022-03-14 16:01:00
234,2.226,1,2022-03-14 16:01:01
235,2.229,1,2022-03-14 16:01:02
236,2.235,1,2022-03-14 16:01:03
237,2.223,1,2022-03-14 16:01:04
238,2.229,1,2022-03-14 16:01:05
239,2.226,1,2022-03-14 16:01:06
240,2.232,1,2022-03-14 16:01:07
241,2.219,1,2022-03-14 16:01:08
242,2.229,1,2022-03-14 16:01:09
243,2.235,1,2022-03-14 16:01:10
244,2.226,1,2022-03-14 16:01:11
245,2.239,1,2022-03-14 16:01:12
246,2.245,1,2022-03-14 16:01:13
247,2.229,1,2022-03-14 16:01:14
248,2.245,1,2022-03-14 16:01:16
249,2.226,1,2022-03-14 16:01:17
250,2.245,1,2022-03-14 16:01:18
251,2.226,1,2022-03-14 16:01:19
252,2.235,1,2022-03-14 16:01:20
253,2.219,1,2022-03-14 16:01:21
254,2.235,1,2022-03-14 16:01:22
255,2.232,1,2022-03-14 16:01:23
256,2.229,1,2022-03-14 16:01:24
257,2.229,1,2022-03-14 16:01:25
258,2.223,1,2022-03-14 16:01:26
259,2.235,1,2022-03-14 16:01:27
260,2.226,1,2022-03-14 16:01:28
261,2.232,1,2022-03-14 16:01:29
262,2.235,1,2022-03-14 16:01:30
